Name,Completion Status,Platforms,Sources
"~Hack~ Beatles, The: Adventures in Pepperland",2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Beatrix vs Beatrix vs Beatrix,2 - Not Played,PlayStation,RetroAchievements
"~Hack~ Big's Fishing Derby",2 - Not Played,Genesis/Mega Drive,RetroAchievements
~Hack~ Birola World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Black Derulo World 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Blaster Master: Pimp Your Ride,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Blaster Master: The Lost Key,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Blue Sphere Plus,2 - Not Played,Genesis/Mega Drive,RetroAchievements
"~Hack~ Bowser's Flood",4 - Beaten,Nintendo DS,RetroAchievements
"~Hack~ Bowser's Jumping Challenge",2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Box Adventure,5 - Mastered,Nintendo DS,RetroAchievements
~Hack~ Brave New World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Breaking the Barrier,5 - Mastered,Nintendo 64,RetroAchievements
~Hack~ Bubble Bobble 2,2 - Not Played,Amstrad CPC,RetroAchievements
~Hack~ Call of Cthulhu,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Captain Toad Treasure Tracker,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Cartuchito World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Casio Mario World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Casio Mario World [Subset - Bonus],2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Castelvania: Aria of Sorrow Reprise,2 - Not Played,Game Boy Advance,RetroAchievements
"~Hack~ Castlevania II: Subotai's Hunt",2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Castlevania: Aria of Sorrow - Magician Mode,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Castlevania: Aria of Sorrow - Persephone,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Castlevania: Aria of Sorrow Alter,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Castlevania: Chorus of Mysteries,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Castlevania: Circle of The Realm,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Dawn of Dissonance - A Juste Story Mode Hack,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Dawn of Shovel,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Galactic Panic,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Maria of Sorrow,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Castlevania: Order of Ecclesia - Zero Collection,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Revenge of the Findesiecle,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Castlevania: Rondo of Ruin,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Serenade Under the Moon,2 - Not Played,Game Boy Advance,RetroAchievements
"~Hack~ Castlevania: Sora, Donald & Neku in Dawn of Sorrow",2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: Specter of Sorrow,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Castlevania: The Holy Relics,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Castlevania: The Last Tear,2 - Not Played,NES/Famicom,RetroAchievements
"~Hack~ Celeste Mario's Zap & Dash!",2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Celeste.smc,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Celeste.smc [Subset - ""Golden Strawberries""]",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Chain Reaction,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Chao Bandstand,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Chartreuse Star Adventure,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Cheep Cheep Challenge,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Chocobo Kwehst,2 - Not Played,NES/Famicom,RetroAchievements
"~Hack~ Chrono Trigger: Prophet's Guile",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Classic Mario World: The Magical Crystals,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Claustrophobia,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Climb the Tower,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Color a Ninja,2 - Not Played,NES/Famicom,RetroAchievements
"~Hack~ Conker's High Rule Tail",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Cooking Princess,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Corroded Charklet City,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Crash Team Racing: Retro-Fueled,2 - Not Played,PlayStation,RetroAchievements
~Hack~ CrazySonic,2 - Not Played,Genesis/Mega Drive,RetroAchievements
~Hack~ Crystal Clear,2 - Not Played,Game Boy Color,RetroAchievements
~Hack~ CTGP: Nitro,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Cute Kaizo World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Cuter Kaizo World,2 - Not Played,SNES/Super Famicom,RetroAchievements
