Name,Completion Status,Platforms,Sources
Ginga Fukei Densetsu Sapphire,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Ginga Ojousama Densetsu Yuna FX: Kanashimi no Selene,2 - Not Played,PC-FX,RetroAchievements
Ginsei Shogi: Kyoutendo Toufuu Raijin (JP),2 - Not Played,PlayStation Vita,Standalone
Gintama Rumble,2 - Not Played,PlayStation Vita,Standalone
Girl Fight,2 - Not Played,PlayStation 3,Standalone
"Girl's Garden",2 - Not Played,SG-1000,RetroAchievements
Girls in Motion Puzzle Vol. 1: Hiyake no Omoide + Himekuri,2 - Not Played,Saturn,RetroAchievements
Gish,2 - Not Played,PC (Windows),Steam
Gitaroo Man,2 - Not Played,PlayStation 2,RetroAchievements
Gitaroo Man Lives!,2 - Not Played,PlayStation Portable,RetroAchievements
Glad Valakas Tower Defence,5 - Mastered,PC (Windows),Steam
Gladiator,2 - Not Played,Arcade,RetroAchievements
Gladiator Begins,2 - Not Played,PlayStation Portable,RetroAchievements
GLADIATOR VS,2 - Not Played,PlayStation 3,Standalone
Glass Masquerade 2: Illusions,2 - Not Played,PC (Windows),Steam
Glitchhikers: The Spaces Between,2 - Not Played,PC (Windows),Steam
Glittermitten Grove,2 - Not Played,PC (Windows),Steam
Global Champion,2 - Not Played,Arcade,RetroAchievements
Global City,2 - Not Played,PC (Windows),Steam
Global Defence Force,2 - Not Played,PlayStation 2,RetroAchievements
Global Defence Force [Subset - Impossible Difficulty],2 - Not Played,PlayStation 2,RetroAchievements
Global Star: Sudoku Fever,2 - Not Played,Game Boy Advance,RetroAchievements
G-LOC: Air Battle,2 - Not Played,Arcade,RetroAchievements
Gloomhaven,2 - Not Played,PC (Windows),Steam
Gloomwood,2 - Not Played,PC (Windows),Steam
Gloria Victis,2 - Not Played,PC (Windows),Steam
Glover,2 - Not Played,PlayStation,RetroAchievements
Glover,2 - Not Played,Nintendo 64,RetroAchievements
Glover [Subset - Bonus],2 - Not Played,Nintendo 64,RetroAchievements
Glyph,2 - Not Played,PC (Windows),Steam
Gnomes Garden,5 - Mastered,PC (Windows),Steam
Gnomes Garden 2,5 - Mastered,PC (Windows),Steam
Gnomes Garden 3: The thief of castles,2 - Not Played,PC (Windows),Steam
Gnomes Garden Lost King,2 - Not Played,PC (Windows),Steam
Gnomes Garden: Christmas Story,2 - Not Played,PC (Windows),Steam
Gnomes Garden: Halloween,2 - Not Played,PC (Windows),Steam
Gnomes Garden: New Home,2 - Not Played,PC (Windows),Steam
Gnomes Garden: Return Of The Queen,6 - No Achievements & Not Interested,PC (Windows),Steam
Gnomes Solitaire,6 - No Achievements & Not Interested,PC (Windows),Steam
Gnumz: Masters of Defense,2 - Not Played,PC (Windows),Steam
Go Go Ackman,2 - Not Played,SNES/Super Famicom,RetroAchievements
Go Go Ackman 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
Go Go Ackman 3,2 - Not Played,SNES/Super Famicom,RetroAchievements
GO Series: 10 Second Run,2 - Not Played,Nintendo DSi,RetroAchievements
GO Series: Fishing Resort,2 - Not Played,Nintendo DSi,RetroAchievements
Go! Go! Hypergrind,2 - Not Played,GameCube,RetroAchievements
Go! Sudoku,2 - Not Played,PlayStation Portable,RetroAchievements
Goal!,2 - Not Played,NES/Famicom,RetroAchievements
Goal! Goal! Goal!,2 - Not Played,Arcade,RetroAchievements
Goat of Duty,2 - Not Played,PC (Windows),Steam
Goat Simulator,2 - Not Played,PlayStation 3,Standalone
Goat Simulator,2 - Not Played,PC (Windows),Steam
"Goat's Tale",2 - Not Played,PC (Windows),Steam
God Awe-full Clicker,2 - Not Played,PC (Windows),Steam
GOD EATER 2,2 - Not Played,PlayStation Vita,Standalone
God Eater 2 Rage Burst,2 - Not Played,PlayStation Vita,Standalone
GOD EATER 2 Rage Burst,2 - Not Played,PC (Windows),Steam
God Eater 3,2 - Not Played,PC (Windows),Steam
GOD EATER OFF SHOT ＜アリサ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER OFF SHOT ＜コウタ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER OFF SHOT ＜サクヤ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER OFF SHOT ＜シオ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER OFF SHOT ＜ソーマ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER OFF SHOT ＜リンドウ編＞ • JP,2 - Not Played,PlayStation Vita,Standalone
GOD EATER RESURRECTION,2 - Not Played,PC (Windows),Steam
GOD EATER RESURRECTION,2 - Not Played,PlayStation Vita,Standalone
God Hand,2 - Not Played,PlayStation 2,RetroAchievements
God Hand [Subset - Hard Kick Me Sign Run],2 - Not Played,PlayStation 2,RetroAchievements
God Medicine | Hukkoku Ban,2 - Not Played,Game Boy,RetroAchievements
God Mode,2 - Not Played,PlayStation 3,Standalone
God of War,2 - Not Played,PlayStation Vita,Standalone
God of War,2 - Not Played,PlayStation 2,RetroAchievements
God of War,2 - Not Played,PlayStation 3,Standalone
God of War,2 - Not Played,PC (Windows),Steam
God of War 3,2 - Not Played,PlayStation 3,Standalone
God of War Ghost of Sparta,2 - Not Played,PlayStation 3,Standalone
God of War II,2 - Not Played,PlayStation 2,RetroAchievements
God of War II,2 - Not Played,PlayStation Vita,Standalone
God of War II,2 - Not Played,PlayStation 3,Standalone
God of War II [Subset - Bonus],2 - Not Played,PlayStation 2,RetroAchievements
God of War: Ascension,2 - Not Played,PlayStation 3,Standalone
God of War: Chains of Olympus,4 - Beaten,PlayStation Portable,RetroAchievements
God of War: Chains of Olympus,2 - Not Played,PlayStation 3,Standalone
God of War: Ghost of Sparta,2 - Not Played,PlayStation Portable,RetroAchievements
God Of Weapons,2 - Not Played,PC (Windows),Steam
GOD WARS,2 - Not Played,PlayStation Vita,Standalone
God Wars ~시대를 넘어~,2 - Not Played,PlayStation Vita,Standalone
Godrop:Prologue,6 - No Achievements & Not Interested,PC (Windows),Steam
GODS,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gods of Almagest,2 - Not Played,PlayStation Vita,Standalone
"God's Trigger",2 - Not Played,PC (Windows),Steam
Gods Will Fall,2 - Not Played,PC (Windows),Steam
Godsbane Idle,2 - Not Played,PC (Windows),Steam
Godstrike,2 - Not Played,PC (Windows),Steam
GodWars,2 - Not Played,PlayStation Vita,Standalone
GODZILLA,2 - Not Played,PlayStation 3,Standalone
Godzilla | Godzilla-kun: Kaiju Daikessen,2 - Not Played,Game Boy,RetroAchievements
Godzilla | Gojira: Bakutou Retsuden,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Godzilla 2: War of the Monsters,2 - Not Played,NES/Famicom,RetroAchievements
Godzilla Generations: Maximum Impact,2 - Not Played,Dreamcast,RetroAchievements
Godzilla: Destroy All Monsters Melee,2 - Not Played,GameCube,RetroAchievements
Godzilla: Domination!,2 - Not Played,Game Boy Advance,RetroAchievements
Godzilla: Kaijuu Daikessen,2 - Not Played,SNES/Super Famicom,RetroAchievements
Godzilla: Monster of Monsters!,2 - Not Played,NES/Famicom,RetroAchievements
Godzilla: Save the Earth,2 - Not Played,PlayStation 2,RetroAchievements
"Goemon's Great Adventure",2 - Not Played,Nintendo 64,RetroAchievements
Goes!,2 - Not Played,PlayStation Vita,Standalone
"Gogo's Crazy Bones: Go Go Crazy!!",2 - Not Played,Nintendo DS,RetroAchievements
Goi,2 - Not Played,PC (Windows),Steam
Goiken Muyou: Anarchy in the Nippon,2 - Not Played,Saturn,RetroAchievements
Going Under,4 - Beaten,PC (Windows),Steam
Gokujou Parodius,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gokuraku! Chuuka Taisen,2 - Not Played,PC Engine/TurboGrafx-16,RetroAchievements
Gold and Glory: The Road to El Dorado,2 - Not Played,PlayStation,RetroAchievements
Gold Rush,2 - Not Played,Apple II,RetroAchievements
Golden Axe,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Golden Axe,2 - Not Played,Master System,RetroAchievements
Golden Axe,2 - Not Played,Arcade,RetroAchievements
Golden Axe,2 - Not Played,WonderSwan,RetroAchievements
Golden Axe,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Golden Axe,2 - Not Played,PlayStation 3,Standalone
Golden Axe II,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Golden Axe III,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Golden Axe Warrior,2 - Not Played,Master System,RetroAchievements
Golden Axe: The Duel,2 - Not Played,Saturn,RetroAchievements
Golden Axe: The Revenge of Death Adder,2 - Not Played,Arcade,RetroAchievements
Golden Krone Hotel,2 - Not Played,PC (Windows),Steam
Golden Light,2 - Not Played,PC (Windows),Steam
Golden Light of Rose,2 - Not Played,PC (Windows),Steam
Golden Sun,2 - Not Played,Game Boy Advance,RetroAchievements
Golden Sun: Dark Dawn,2 - Not Played,Nintendo DS,RetroAchievements
Golden Sun: The Lost Age,2 - Not Played,Game Boy Advance,RetroAchievements
GoldenEye 007,2 - Not Played,Nintendo 64,RetroAchievements
GoldenEye 007 [Subset - Dark License to Kill],2 - Not Played,Nintendo 64,RetroAchievements
GoldenEye 007: Reloaded,2 - Not Played,PlayStation 3,Standalone
Goldie,2 - Not Played,PlayStation,RetroAchievements
Golf,2 - Not Played,Virtual Boy,RetroAchievements
Golf,2 - Not Played,Interton VC 4000,RetroAchievements
Golf,2 - Not Played,NES/Famicom,RetroAchievements
Golf,2 - Not Played,Game Boy,RetroAchievements
Golf Club: Wasteland,2 - Not Played,PC (Windows),Steam
Golf for Workgroups,2 - Not Played,PC (Windows),Steam
Golf Gang,2 - Not Played,PC (Windows),Steam
Golf It!,2 - Not Played,PC (Windows),Steam
Golf Peaks,5 - Mastered,PC (Windows),Steam
Golfie,2 - Not Played,PC (Windows),Steam
Golgo 13,2 - Not Played,SG-1000,RetroAchievements
Golgo 13: The Mafat Conspiracy,2 - Not Played,NES/Famicom,RetroAchievements
Golgo 13: Top Secret Episode,2 - Not Played,NES/Famicom,RetroAchievements
Golgotha,2 - Not Played,PC (Windows),Steam
Golvellius: Valley of Doom,2 - Not Played,Master System,RetroAchievements
Gomo,2 - Not Played,PC (Windows),Steam
Gomoku Narabe Renju,2 - Not Played,NES/Famicom,RetroAchievements
Gomola Speed,2 - Not Played,PC Engine/TurboGrafx-16,RetroAchievements
GON,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gone Home,2 - Not Played,PC (Windows),Steam
GoNNER,2 - Not Played,PC (Windows),Steam
GONNER2,2 - Not Played,PC (Windows),Steam
Goo Gladiators,2 - Not Played,PC (Windows),Steam
Gooba Ball,2 - Not Played,PC (Windows),Steam
Good Knight,2 - Not Played,PC (Windows),Steam
"Good Night, Knight",2 - Not Played,PC (Windows),Steam
Goodbye Deponia,2 - Not Played,PC (Windows),Steam
Goof Troop,2 - Not Played,SNES/Super Famicom,RetroAchievements
"Goofy's Fun House",2 - Not Played,PlayStation,RetroAchievements
Goose Goose Duck,2 - Not Played,PC (Windows),Steam
Goosebumps: The Game,2 - Not Played,PlayStation 3,Standalone
Goosebumps: The Game,2 - Not Played,PC (Windows),Steam
Gordian Quest,2 - Not Played,PC (Windows),Steam
Gorf,2 - Not Played,ColecoVision,RetroAchievements
Gorillas,2 - Not Played,Uzebox,RetroAchievements
Gorky 17,2 - Not Played,PC (Windows),Steam
Gotham City Impostors,2 - Not Played,PlayStation 3,Standalone
Gotham Knights,2 - Not Played,PC (Windows),Steam
Gothic,2 - Not Played,PC (Windows),Steam
Gothik,2 - Not Played,Amstrad CPC,RetroAchievements
Gottlieb Pinball Classics,2 - Not Played,PlayStation Portable,RetroAchievements
Götzendiener,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Gouketsuji Ichizoku,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gourmet Sentai Bara Yarou,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gourmet Warriors,2 - Not Played,PC (Windows),Steam
Governor of Poker 3,2 - Not Played,PC (Windows),Steam
GP World,2 - Not Played,SG-1000,RetroAchievements
GP-1: Part II,2 - Not Played,SNES/Super Famicom,RetroAchievements
GPRO,2 - Not Played,PC (Windows),Steam
Grab the Bottle,2 - Not Played,PlayStation Vita,Standalone
Gradius,2 - Not Played,NES/Famicom,RetroAchievements
Gradius,2 - Not Played,PC Engine/TurboGrafx-16,RetroAchievements
Gradius Generation | Gradius Galaxies | Gradius Advance,2 - Not Played,Game Boy Advance,RetroAchievements
Gradius II,2 - Not Played,NES/Famicom,RetroAchievements
Gradius II: Gofer no Yabou,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Gradius II: GOFER no Yabou,2 - Not Played,Arcade,RetroAchievements
Gradius III,2 - Not Played,Arcade,RetroAchievements
Gradius III,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gradius V,2 - Not Played,PlayStation 2,RetroAchievements
Gradius V [Subset - Bonus],2 - Not Played,PlayStation 2,RetroAchievements
Gran Turismo,5 - Mastered,PlayStation,RetroAchievements
Gran Turismo 2,2 - Not Played,PlayStation,RetroAchievements
Gran Turismo 3: A-Spec,2 - Not Played,PlayStation 2,RetroAchievements
Gran Turismo 4,3 - Tried,PlayStation 2,RetroAchievements
Gran Turismo 4 [Subset - Bonus],2 - Not Played,PlayStation 2,RetroAchievements
Gran Turismo 4: Prologue,4 - Beaten,PlayStation 2,RetroAchievements
Gran Turismo 5,2 - Not Played,PlayStation 3,Standalone
Gran Turismo 6,2 - Not Played,PlayStation 3,Standalone
Gran Turismo Concept: 2002 Tokyo-Geneva,2 - Not Played,PlayStation 2,RetroAchievements
Granada,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Granblue Fantasy: Versus,2 - Not Played,PC (Windows),Steam
Grand Chase Classic,2 - Not Played,PC (Windows),Steam
Grand Fantasia：ORIGIN,2 - Not Played,PC (Windows),Steam
Grand Kingdom,2 - Not Played,PlayStation Vita,Standalone
Grand Master,2 - Not Played,NES/Famicom,RetroAchievements
Grand Mountain Adventure,2 - Not Played,PC (Windows),Steam
Grand Prix,2 - Not Played,Watara Supervision,RetroAchievements
Grand Prix | Car Races | Road Race,2 - Not Played,Interton VC 4000,RetroAchievements
Grand Theft Auto,2 - Not Played,PlayStation,RetroAchievements
Grand Theft Auto 2,2 - Not Played,PlayStation,RetroAchievements
Grand Theft Auto Advance,2 - Not Played,Game Boy Advance,RetroAchievements
Grand Theft Auto III,2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto IV,2 - Not Played,PlayStation 3,Standalone
Grand Theft Auto IV: The Complete Edition,2 - Not Played,PC (Windows),Steam
Grand Theft Auto V,2 - Not Played,PC (Windows),Steam
Grand Theft Auto V,2 - Not Played,PlayStation 3,Standalone
Grand Theft Auto: Chinatown Wars,2 - Not Played,PlayStation Portable,RetroAchievements
Grand Theft Auto: Chinatown Wars,2 - Not Played,Nintendo DS,RetroAchievements
Grand Theft Auto: Liberty City Stories,2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto: Liberty City Stories,2 - Not Played,PlayStation Portable,RetroAchievements
Grand Theft Auto: London 1969,2 - Not Played,PlayStation,RetroAchievements
Grand Theft Auto: San Andreas,2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto: San Andreas,2 - Not Played,PlayStation 3,Standalone
Grand Theft Auto: San Andreas [Subset - Viva Las Venturas],2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto: Vice City,2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto: Vice City Stories,2 - Not Played,PlayStation 2,RetroAchievements
Grand Theft Auto: Vice City Stories,2 - Not Played,PlayStation Portable,RetroAchievements
Grand Theft Auto: Vice City Stories [Subset - Chained Missions],2 - Not Played,PlayStation 2,RetroAchievements
Grandia,2 - Not Played,PlayStation,RetroAchievements
Grandia HD Remaster,2 - Not Played,PC (Windows),Steam
Grandia II,2 - Not Played,PlayStation 2,RetroAchievements
Grandia II,2 - Not Played,Dreamcast,RetroAchievements
Grandia II HD Remaster,2 - Not Played,PC (Windows),Steam
Grandia III,2 - Not Played,PlayStation 2,RetroAchievements
Grandia: Parallel Trippers,2 - Not Played,Game Boy Color,RetroAchievements
Graphwar,2 - Not Played,PC (Windows),Steam
Grapple,2 - Not Played,PC (Windows),Steam
Grapple Dog,2 - Not Played,PC (Windows),Steam
Grapple Gear,2 - Not Played,PC (Windows),Steam
Grapple Hoops,2 - Not Played,PC (Windows),Steam
Grappler Baki: Baki Saikyou Retsuden | Fighting Fury,2 - Not Played,PlayStation 2,RetroAchievements
Grass Cutter,2 - Not Played,PlayStation Vita,Standalone
Gravel,2 - Not Played,PC (Windows),Steam
Graveyard Keeper,2 - Not Played,PC (Windows),Steam
GRAVIATORS,2 - Not Played,PC (Windows),Steam
Gravitas,2 - Not Played,PC (Windows),Steam
Gravity,4 - Beaten,PC (Windows),Steam
Gravity Badgers,2 - Not Played,PlayStation Vita,Standalone
Gravity Crash,2 - Not Played,PlayStation 3,Standalone
Gravity Crash ULTRA,2 - Not Played,PlayStation Vita,Standalone
Gravity Den,2 - Not Played,PC (Windows),Steam
Gravity Duck • AS,2 - Not Played,PlayStation Vita,Standalone
Gravity Duck • EU,2 - Not Played,PlayStation Vita,Standalone
Gravity Duck • NA,2 - Not Played,PlayStation Vita,Standalone
Gravity Escape From The Maze,2 - Not Played,PC (Windows),Steam
Gravity Rush,2 - Not Played,PlayStation Vita,Standalone
GravKitten,4 - Beaten,PC (Windows),Steam
GravNewton,4 - Beaten,PC (Windows),Steam
Gray Dawn,2 - Not Played,PC (Windows),Steam
Gray Death,2 - Not Played,PC (Windows),Steam
Graze Counter,6 - No Achievements & Not Interested,PC (Windows),Steam
Greak: Memories of Azur,2 - Not Played,PC (Windows),Steam
Grease Dance,2 - Not Played,PlayStation 3,Standalone
Great Greed,2 - Not Played,Game Boy,RetroAchievements
Great Naval Battles: The Final Fury,2 - Not Played,PC (Windows),Steam
Great Permutator,2 - Not Played,PC (Windows),Steam
Great Volleyball,2 - Not Played,Master System,RetroAchievements
Greed Corp,2 - Not Played,PlayStation 3,Standalone
Greed Knights,2 - Not Played,PC (Windows),Steam
Greed: Black Border,2 - Not Played,PC (Windows),Steam
GreedFall,2 - Not Played,PC (Windows),Steam
Greedy Rabbit,2 - Not Played,PC (Windows),Steam
Green Day: Rock Band,2 - Not Played,PlayStation 3,Standalone
Green Game,2 - Not Played,PlayStation Vita,Standalone
Green Lantern: Rise of the Manhunters,2 - Not Played,PlayStation 3,Standalone
Green New Deal Simulator,2 - Not Played,PC (Windows),Steam
Green Reaper,6 - No Achievements & Not Interested,PC (Windows),Steam
Greendog: The Beached Surfer Dude!,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Greg Hastings Paintball 2,2 - Not Played,PlayStation 3,Standalone
Gregory Horror Show,2 - Not Played,PlayStation 2,RetroAchievements
Gremlins 2: The New Batch,2 - Not Played,NES/Famicom,RetroAchievements
Gremlins 2: The New Batch,2 - Not Played,Game Boy,RetroAchievements
GRID,2 - Not Played,PC (Windows),Steam
GRID 2,2 - Not Played,PlayStation 3,Standalone
GRID Autosport,2 - Not Played,PlayStation 3,Standalone
Griddlers Beach Season,6 - No Achievements & Not Interested,PC (Windows),Steam
Griddlers Legend Of The Pirates,6 - No Achievements & Not Interested,PC (Windows),Steam
Griddlers TED and PET,6 - No Achievements & Not Interested,PC (Windows),Steam
Griddlers TED and PET 2,6 - No Achievements & Not Interested,PC (Windows),Steam
Griftlands,2 - Not Played,PC (Windows),Steam
Grim Clicker,2 - Not Played,PC (Windows),Steam
Grim Dawn,2 - Not Played,PC (Windows),Steam
Grim Fandango Remastered,2 - Not Played,PlayStation Vita,Standalone
Grim Legends 2: Song of the Dark Swan,2 - Not Played,PC (Windows),Steam
Grim Legends 3: The Dark City,2 - Not Played,PC (Windows),Steam
Grim Legends: The Forsaken Bride,4 - Beaten,PC (Windows),Steam
GRIME,2 - Not Played,PC (Windows),Steam
GrimGrimoire,2 - Not Played,PlayStation 2,RetroAchievements
"Grimm's Hollow",2 - Not Played,PC (Windows),Steam
Grimoire Chronicles,2 - Not Played,PC (Windows),Steam
Grind Session,2 - Not Played,PlayStation,RetroAchievements
Grinsia,2 - Not Played,PlayStation Vita,Standalone
GRIP,2 - Not Played,PC (Windows),Steam
GRIS,4 - Beaten,PC (Windows),Steam
"Groovin' Blocks",2 - Not Played,PlayStation 3,Standalone
Grotesque Tactics 2: Dungeons and Donuts,2 - Not Played,PC (Windows),Steam
Grotesque Tactics: Evil Heroes,2 - Not Played,PC (Windows),Steam
Grottesco Absurdus,2 - Not Played,PC (Windows),Steam
Grotto,2 - Not Played,PC (Windows),Steam
Ground Zero Texas,2 - Not Played,Sega CD,RetroAchievements
Grow Big (or Go Home),2 - Not Played,PC (Windows),Steam
Grow Defense,2 - Not Played,PC (Windows),Steam
Grow: Song of the Evertree,2 - Not Played,PC (Windows),Steam
Growl,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Growth,2 - Not Played,PC (Windows),Steam
Gryzor,2 - Not Played,Amstrad CPC,RetroAchievements
GT Advance 2: Rally Racing,2 - Not Played,Game Boy Advance,RetroAchievements
GT Advance 3: Pro Concept Racing,2 - Not Played,Game Boy Advance,RetroAchievements
GT Cube,2 - Not Played,GameCube,RetroAchievements
"GTI Club + Rally Cote D'Azur",2 - Not Played,PlayStation 3,Standalone
Guacamelee!,2 - Not Played,PlayStation 3,Standalone
Guacamelee!,2 - Not Played,PlayStation Vita,Standalone
Guacamelee! 2,5 - Mastered,PC (Windows),Steam
Guacamelee! Gold Edition,5 - Mastered,PC (Windows),Steam
Guacamelee! Super Turbo Championship Edition,5 - Mastered,PC (Windows),Steam
Guard Duty,2 - Not Played,PlayStation Vita,Standalone
Guardian Force,2 - Not Played,Saturn,RetroAchievements
Guardian Heroes,2 - Not Played,Saturn,RetroAchievements
Guardians of Holme,2 - Not Played,PC (Windows),Steam
Guardians of Hyelore,2 - Not Played,PC (Windows),Steam
Guardians of Middle-earth,2 - Not Played,PlayStation 3,Standalone
Guardians of the Sanctree: Early Birds,2 - Not Played,PC (Windows),Steam
Guarding Goddess,2 - Not Played,PC (Windows),Steam
Guards,2 - Not Played,PC (Windows),Steam
Guerrilla War,2 - Not Played,NES/Famicom,RetroAchievements
Guild of Darksteel,2 - Not Played,PC (Windows),Steam
Guild Wars 2,2 - Not Played,PC (Windows),Steam
Guilty Gear,2 - Not Played,PlayStation,RetroAchievements
GUILTY GEAR,2 - Not Played,PC (Windows),Steam
GUILTY GEAR 2 -OVERTURE-,2 - Not Played,PC (Windows),Steam
Guilty Gear Isuka,2 - Not Played,PC (Windows),Steam
Guilty Gear Petit,2 - Not Played,WonderSwan,RetroAchievements
Guilty Gear Petit 2,2 - Not Played,WonderSwan,RetroAchievements
GUILTY GEAR -STRIVE-,2 - Not Played,PC (Windows),Steam
Guilty Gear X,2 - Not Played,Dreamcast,RetroAchievements
Guilty Gear X Advance Edition,2 - Not Played,Game Boy Advance,RetroAchievements
Guilty Gear X ver 1.5,2 - Not Played,Arcade,RetroAchievements
Guilty Gear X2 #Reload,2 - Not Played,PC (Windows),Steam
GUILTY GEAR Xrd REV 2,2 - Not Played,PC (Windows),Steam
Guilty Gear Xrd -Revelator-,2 - Not Played,PlayStation 3,Standalone
GUILTY GEAR Xrd -SIGN-,2 - Not Played,PlayStation 3,Standalone
Guilty Gear Xrd: Sign,2 - Not Played,PC (Windows),Steam
Guilty Gear XX Accent Core Plus,2 - Not Played,PlayStation 3,Standalone
Guilty Gear XX Accent Core Plus R,2 - Not Played,PC (Windows),Steam
GUILTY GEAR XX ΛCORE PLUS R,2 - Not Played,PlayStation Vita,Standalone
Guitar Hero,2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero [Subset - Expert Full Combos],2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero 5,2 - Not Played,PlayStation 3,Standalone
"Guitar Hero Encore: Rocks the '80s",2 - Not Played,PlayStation 2,RetroAchievements
"Guitar Hero Encore: Rocks the '80s [Subset - Expert Full Combos]",2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero Hits,2 - Not Played,PlayStation 3,Standalone
Guitar Hero II,2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero II [Subset - Expert Full Combos],2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero II [Subset - Multi],2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero III: Legends of Rock,2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero III: Legends of Rock [Subset - Expert Full Combos],2 - Not Played,PlayStation 2,RetroAchievements
Guitar Hero Live,2 - Not Played,PlayStation 3,Standalone
Guitar Hero Metallica,2 - Not Played,PlayStation 3,Standalone
Guitar Hero Van Halen,2 - Not Played,PlayStation 3,Standalone
Guitar Hero: On Tour,2 - Not Played,Nintendo DS,RetroAchievements
Guitar Hero: On Tour [Subset - Expert Full Combos],2 - Not Played,Nintendo DS,RetroAchievements
Guitar Hero: Warriors of Rock,2 - Not Played,PlayStation 3,Standalone
Guitar Hero: World Tour,2 - Not Played,PlayStation 2,RetroAchievements
Gulkave,2 - Not Played,SG-1000,RetroAchievements
Gum Ball Run,2 - Not Played,PC (Windows),Steam
Gumby vs. the Astrobots,2 - Not Played,Game Boy Advance,RetroAchievements
Gummy Bears Minigolf,2 - Not Played,Nintendo DS,RetroAchievements
Gumshoe,2 - Not Played,NES/Famicom,RetroAchievements
Gun,2 - Not Played,PlayStation 2,RetroAchievements
Gun Crazy,2 - Not Played,PC (Windows),Steam
Gun Devil,2 - Not Played,PC (Windows),Steam
GUN GODZ,2 - Not Played,PC (Windows),Steam
Gun Gun Pixies,2 - Not Played,PC (Windows),Steam
Gun Metal,2 - Not Played,PC (Windows),Steam
Gun Nac,2 - Not Played,NES/Famicom,RetroAchievements
Gun Survivor 2 BIOHAZARD CODE: Veronica,2 - Not Played,Arcade,RetroAchievements
Gun Survivor 2 BIOHAZARD CODE: Veronica,2 - Not Played,PlayStation 2,RetroAchievements
Gun Wings,2 - Not Played,PC (Windows),Steam
Gun Witch,2 - Not Played,PC (Windows),Steam
Gun.Smoke,2 - Not Played,NES/Famicom,RetroAchievements
Gunbarich,2 - Not Played,Arcade,RetroAchievements
Gunbird,2 - Not Played,Arcade,RetroAchievements
Gunborg: Dark Matters,2 - Not Played,PC (Windows),Steam
Gundam Breaker 【ガンダムブレイカー】,2 - Not Played,PlayStation 3,Standalone
GUNDAM BREAKER 3,2 - Not Played,PlayStation Vita,Standalone
GUNDAM EVOLUTION,2 - Not Played,PC (Windows),Steam
Gundam: Battle Assault,2 - Not Played,PlayStation,RetroAchievements
Gundam: Battle Assault 2,2 - Not Played,PlayStation,RetroAchievements
Gundam: The Battle Master,2 - Not Played,PlayStation,RetroAchievements
GundeadliGne,2 - Not Played,PlayStation 3,Standalone
Gundemonium Recollection,2 - Not Played,PlayStation 3,Standalone
Gundemoniums,2 - Not Played,PlayStation Vita,Standalone
GunForce II | Geo Storm,2 - Not Played,Arcade,RetroAchievements
GunForce: Battle Fire Engulfed Terror Island,2 - Not Played,SNES/Super Famicom,RetroAchievements
Gungage,4 - Beaten,PlayStation,RetroAchievements
Gungriffon,2 - Not Played,Saturn,RetroAchievements
Gunhouse,2 - Not Played,PlayStation Vita,Standalone
Gunlocked,2 - Not Played,PC (Windows),Steam
Gunman And The Witch,2 - Not Played,PC (Windows),Steam
Gunners Heaven | Rapid Reload,2 - Not Played,PlayStation,RetroAchievements
Guns Up!,2 - Not Played,PC (Windows),Steam
Gunscape,2 - Not Played,PC (Windows),Steam
Gunslugs,2 - Not Played,PlayStation Vita,Standalone
